text,label
"Your account has been compromised. Please click http://badlink.com to secure it now.","phishing"
"Hello friend, long time no see! Are we still meeting tomorrow?","legitimate"
"Urgent: Update your payment info here: http://scammyurl.com","phishing"
"Reminder: Your subscription will expire in 3 days, visit our official site https://example.com","legitimate"
"Dear Customer, We have detected unusual activity on your bank account. To ensure your safety, please verify your details immediately at http://safe-checks-account-secure.com/verify. Failure to do so may result in restricted access.","phishing"
"Hello, Your email storage is full. To continue receiving messages, please click here: http://mail-storage-reset.info/ and enter your password to upgrade for free.","phishing"
"Dear User, A pending invoice requires your immediate attention. Review it now at http://invoice-payment-alert.io/. Provide your credit card details to prevent service interruption.","phishing"
"Hi, We detected a suspicious login attempt from an unknown device on your email account. Please verify your identity here: http://auth-verify-portal.net/ and re-enter your password.","phishing"
"Hello, You have been selected to receive a $1000 gift card! To claim it, visit http://winners-claim-prize.me/ and confirm your personal details.","phishing"
"Hi Team, Here’s the weekly update on our marketing campaign: New lead generation ads went live, and we saw a 10% increase in CTR. We’ll discuss in tomorrow’s meeting.","legitimate"
"Hey Mark, Are we still on for lunch this Friday at 12:30 pm? I’m thinking of the new Italian place downtown.","legitimate"
"Dear Colleague, Reminder to complete the quarterly company satisfaction survey by end of this week. Your feedback helps us improve.","legitimate"
"Hello Team, Attached is the updated agenda for Monday’s meeting. Please review and send any additional items.","legitimate"
"Hi Anna, Your vacation dates (June 10–15) have been approved. We’ve updated the team calendar accordingly.","legitimate"
